	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
RhASF-10_1_11	RhASF-10	1	11	14183	15280	1	D										Glycosyl transferases group 1 [PF00534.25]; Glycosyl transferases group 1 [PF13692.11]; Family 4 Glycosyltransferase in conflict systems [PF20706.2]; Glycosyltransferase Family 4 [PF13439.11]; Glycosyl transferases group 1 [PF13524.11]; Glycosyl transferase 4-like domain [PF13579.11]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	0
RhASF-10_1_12	RhASF-10	1	12	16215	17834	1	C	K25588	tyrosine-protein kinase [EC:2.7.10.3]								AAA domain [PF13614.11]; NUBPL iron-transfer P-loop NTPase [PF10609.14]; ATPase MipZ [PF09140.16]; Cellulose biosynthesis protein BcsQ [PF06564.17]; Chain length determinant protein [PF02706.20]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.28]					0
RhASF-10_1_13	RhASF-10	1	13	18420	20195	-1	D										Protein of unknown function (DUF4012) [PF13196.11]					0
RhASF-10_1_14	RhASF-10	1	14	20402	30268	1	C	K16118	pristinamycin I synthase 3 and 4								Condensation domain [PF00668.25]; AMP-binding enzyme [PF00501.33]; Thioesterase domain [PF00975.25]; AMP-binding enzyme C-terminal domain [PF13193.11]; Phosphopantetheine attachment site [PF00550.30]					0
RhASF-10_1_15	RhASF-10	1	15	30268	31146	1	D										Mycolic acid cyclopropane synthetase [PF02353.25]; Methyltransferase domain [PF13489.11]; Methyltransferase domain [PF13649.11]; Methyltransferase domain [PF08241.17]; Methyltransferase domain [PF13847.11]; Methyltransferase domain [PF08242.17]; ubiE/COQ5 methyltransferase family [PF01209.23]					0
RhASF-10_1_16	RhASF-10	1	16	31161	31835	1	D			MER0151424	S01C	MER0151424 - subfamily S1C unassigned peptidases (Rhodococcus jostii) [S01.UPC]#S01C#{peptidase unit: 46-183}~source ABG96867~	False	0.42	100.0	3.275e-22						0
RhASF-10_1_17	RhASF-10	1	17	31873	32895	-1	E															0
RhASF-10_1_18	RhASF-10	1	18	32971	33735	-1	C	K00721	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]								Glycosyl transferase family 2 [PF00535.31]; Glycosyltransferase like family 2 [PF13641.11]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
RhASF-10_1_19	RhASF-10	1	19	33732	36842	-1	D										Glycosyl transferase family group 2 [PF13632.11]; Glycosyltransferase like family 2 [PF13641.11]; Cellulose synthase [PF03552.19]; Glycosyl transferase family 21 [PF13506.11]; Glycosyl transferase family 2 [PF00535.31]	GT2_Glycos_transf_2; GT2_Glyco_trans_2_3	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
RhASF-10_1_20	RhASF-10	1	20	36990	37934	1	C	K01218	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]								Glycosyl hydrolase family 26 [PF02156.20]	GH26	GH26 beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)	3.2.1.100,3.2.1.32,3.2.1.4,3.2.1.78	GH26.hmm	0
RhASF-10_1_21	RhASF-10	1	21	37935	38918	-1	C	K01218	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]								Glycosyl hydrolase family 26 [PF02156.20]	GH26	GH26 beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)	3.2.1.100,3.2.1.32,3.2.1.4,3.2.1.78	GH26.hmm	0
RhASF-10_1_22	RhASF-10	1	22	39130	39591	-1	E															0
RhASF-10_1_23	RhASF-10	1	23	39579	40325	-1	C	K03118	sec-independent protein translocase protein TatC								Sec-independent protein translocase protein (TatC) [PF00902.23]					0
RhASF-10_1_24	RhASF-10	1	24	40352	40579	-1	C	K03116	sec-independent protein translocase protein TatA								mttA/Hcf106 family [PF02416.21]					0
RhASF-10_1_25	RhASF-10	1	25	40613	41614	-1	D										Dioxygenase [PF00775.26]					0
RhASF-10_1_26	RhASF-10	1	26	41796	42659	1	D										Periplasmic binding protein [PF01497.23]					0
RhASF-10_1_27	RhASF-10	1	27	42803	43423	-1	C	K16868	tellurite methyltransferase [EC:2.1.1.265]								Tellurite resistance protein TehB [PF03848.19]; Thiopurine S-methyltransferase (TPMT) [PF05724.16]; Methyltransferase domain [PF08241.17]; Methyltransferase domain [PF13649.11]; Methyltransferase domain [PF13847.11]; Methyltransferase domain [PF13489.11]; Methyltransferase domain [PF08242.17]; Methyltransferase small domain [PF05175.19]; Mycolic acid cyclopropane synthetase [PF02353.25]; ubiE/COQ5 methyltransferase family [PF01209.23]; Nodulation protein S (NodS) [PF05401.16]					0
RhASF-10_1_28	RhASF-10	1	28	43531	44355	-1	D										Diguanylate cyclase, GGDEF domain [PF00990.26]; PAS fold [PF08448.15]; PAS fold [PF00989.30]; PAS domain [PF13426.12]; PAS fold [PF08447.17]					0
RhASF-10_1_29	RhASF-10	1	29	44600	45034	1	E															0
RhASF-10_1_30	RhASF-10	1	30	45236	45562	1	E															0
RhASF-10_1_31	RhASF-10	1	31	45791	46759	1	D										P-aminobenzoate N-oxygenase AurF [PF11583.13]					0
RhASF-10_1_32	RhASF-10	1	32	46732	47463	-1	D										Tetracyclin repressor-like, C-terminal domain [PF19344.4]; Bacterial regulatory proteins, tetR family [PF00440.28]					0
RhASF-10_1_33	RhASF-10	1	33	47499	48038	-1	C	K07156	copper resistance protein C								CopC domain [PF04234.17]					0
RhASF-10_1_34	RhASF-10	1	34	48066	48422	-1	D										Bacterial regulatory protein, arsR family [PF01022.25]; Helix-turn-helix domain [PF12840.12]					0
RhASF-10_1_35	RhASF-10	1	35	48437	49681	-1	D										Transmembrane secretion effector [PF05977.18]; Major Facilitator Superfamily [PF07690.21]					0
RhASF-10_1_36	RhASF-10	1	36	49769	50995	1	D										Diguanylate cyclase, GGDEF domain [PF00990.26]; PAS fold [PF00989.30]; PAS fold [PF08448.15]; PAS domain [PF13426.12]; PAS fold [PF08447.17]; PAS domain [PF14598.11]					0
RhASF-10_1_37	RhASF-10	1	37	51078	51371	-1	E															0
RhASF-10_1_38	RhASF-10	1	38	51465	51677	1	E															0
RhASF-10_1_39	RhASF-10	1	39	51700	52647	-1	D										Protein of unknown function (DUF559) [PF04480.17]; REase_MTES_1575 [PF18741.6]; Transcriptional regulator, AbiEi antitoxin [PF13338.11]					0
RhASF-10_1_40	RhASF-10	1	40	52695	53066	-1	D										Phospholipase_D-nuclease N-terminal [PF13396.11]					0
RhASF-10_1_41	RhASF-10	1	41	53295	53762	-1	E															0
RhASF-10_1_42	RhASF-10	1	42	53759	54793	-1	C	K02529	LacI family transcriptional regulator, galactose operon repressor								Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.26]; Periplasmic binding protein-like domain [PF13377.11]; Periplasmic binding protein domain [PF13407.11]; Bacterial regulatory proteins, lacI family [PF00356.26]					0
RhASF-10_1_43	RhASF-10	1	43	55016	55957	1	D										Dihydrodipicolinate synthetase family [PF00701.27]					0
RhASF-10_1_44	RhASF-10	1	44	56247	57029	1	D										Natural resistance-associated macrophage protein-like [PF01566.23]					0
RhASF-10_1_45	RhASF-10	1	45	57077	57424	1	D										Natural resistance-associated macrophage protein-like [PF01566.23]					0
RhASF-10_1_46	RhASF-10	1	46	57485	58429	-1	C	K15269	probable blue pigment (indigoidine) exporter								EamA-like transporter family [PF00892.25]; Triose-phosphate Transporter family [PF03151.21]					0
RhASF-10_1_47	RhASF-10	1	47	58558	59055	1	D										Transcriptional regulator SarA/Rot [PF22381.1]; Winged helix DNA-binding domain [PF13463.11]; MarR family [PF01047.27]; MarR family [PF12802.12]					0
RhASF-10_1_48	RhASF-10	1	48	59195	59668	1	D										Family of unknown function (DUF6847) [PF20935.2]					0
RhASF-10_1_49	RhASF-10	1	49	59925	60497	1	D										Isochorismatase family [PF00857.25]					0
RhASF-10_1_50	RhASF-10	1	50	60564	60968	1	E															0
RhASF-10_1_51	RhASF-10	1	51	60972	61307	1	E															0
RhASF-10_1_52	RhASF-10	1	52	61510	62010	-1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_53	RhASF-10	1	53	62057	62425	-1	C	K06199	fluoride exporter								CrcB-like protein, Camphor Resistance (CrcB) [PF02537.20]					0
RhASF-10_1_54	RhASF-10	1	54	62422	62922	-1	C	K06199	fluoride exporter								CrcB-like protein, Camphor Resistance (CrcB) [PF02537.20]					0
RhASF-10_1_55	RhASF-10	1	55	63080	64225	-1	D										Citrate synthase, C-terminal domain [PF00285.26]					0
RhASF-10_1_56	RhASF-10	1	56	64315	65523	1	D										Citrate synthase, C-terminal domain [PF00285.26]					0
RhASF-10_1_57	RhASF-10	1	57	65517	66155	-1	D										Bacterial regulatory proteins, tetR family [PF00440.28]					0
RhASF-10_1_58	RhASF-10	1	58	66402	67526	1	D										Family of unknown function (DUF5938) [PF19362.4]; Saccharopine dehydrogenase NADP binding domain [PF03435.23]; NmrA-like family [PF05368.18]					0
RhASF-10_1_59	RhASF-10	1	59	67538	69094	1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_60	RhASF-10	1	60	69091	69846	1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; NAD dependent epimerase/dehydratase family [PF01370.26]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.24]					0
RhASF-10_1_61	RhASF-10	1	61	69866	70798	-1	C	K07071	uncharacterized protein								NAD dependent epimerase/dehydratase family [PF01370.26]; RmlD substrate binding domain [PF04321.22]; Domain of unknown function (DUF1731) [PF08338.16]; GDP-mannose 4,6 dehydratase [PF16363.10]					0
RhASF-10_1_62	RhASF-10	1	62	70795	71466	-1	D										Tetracyclin repressor-like, C-terminal domain [PF17931.6]; Bacterial regulatory proteins, tetR family [PF00440.28]					0
RhASF-10_1_63	RhASF-10	1	63	71647	72063	1	E															0
RhASF-10_1_64	RhASF-10	1	64	72166	72831	1	D										Methyltransferase domain [PF13489.11]; Methyltransferase domain [PF08241.17]; ubiE/COQ5 methyltransferase family [PF01209.23]; Methyltransferase domain [PF13847.11]; Methyltransferase domain [PF13649.11]; Methyltransferase domain [PF08242.17]; Nodulation protein S (NodS) [PF05401.16]; Mycolic acid cyclopropane synthetase [PF02353.25]					0
RhASF-10_1_65	RhASF-10	1	65	73765	74241	-1	E															0
RhASF-10_1_66	RhASF-10	1	66	74344	74781	1	D										Swiss Army Knife protein, DSP-PTPase phosphatase domain [PF22784.1]					0
RhASF-10_1_67	RhASF-10	1	67	74827	75129	1	D										Helix-turn-helix domain [PF12844.12]; Helix-turn-helix [PF01381.27]; Helix-turn-helix domain [PF13560.11]					0
RhASF-10_1_68	RhASF-10	1	68	75087	75713	-1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	MER1015706	S14	MER1015706 - family S14 non-peptidase homologues (Rhodococcus sp. B7740) [S14.UNW]#S14#{peptidase unit: 4-193}~source A0A0D5AD53~	True	0.908	362.0	3.063e-113	Clp protease [PF00574.28]					0
RhASF-10_1_69	RhASF-10	1	69	75710	76318	-1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	MER1016124	S14	MER1016124 - family S14 unassigned peptidases (Rhodococcus sp. AW25M09) [S14.UPW]#S14#{peptidase unit: 25-195}~source L8DG00~	False	0.956	346.0	1.309e-107	Clp protease [PF00574.28]					0
RhASF-10_1_70	RhASF-10	1	70	76418	76885	1	D										Polyketide cyclase / dehydrase and lipid transport [PF10604.14]; Polyketide cyclase / dehydrase and lipid transport [PF03364.25]					0
RhASF-10_1_71	RhASF-10	1	71	77160	77447	1	D										Bacteriocin-protection, YdeI or OmpD-Associated [PF13376.11]; Domain of unknown function (DUF1905) [PF08922.16]					0
RhASF-10_1_72	RhASF-10	1	72	77576	79039	-1	D										Aminotransferase class I and II [PF00155.26]; Bacterial regulatory proteins, gntR family [PF00392.26]; Aminotransferase class-V [PF00266.24]					0
RhASF-10_1_73	RhASF-10	1	73	79405	80052	-1	D										Bacterial Tetracyclin repressor,  C-terminal domain [PF18556.6]; Bacterial regulatory proteins, tetR family [PF00440.28]					0
RhASF-10_1_74	RhASF-10	1	74	80036	81244	-1	C	K00529	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]								Pyridine nucleotide-disulphide oxidoreductase [PF07992.19]; Reductase C-terminal [PF14759.11]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.32]					0
RhASF-10_1_75	RhASF-10	1	75	81241	81414	-1	D										Rubredoxin [PF00301.25]					0
RhASF-10_1_76	RhASF-10	1	76	81411	81575	-1	D										Rubredoxin [PF00301.25]					0
RhASF-10_1_77	RhASF-10	1	77	81575	82798	-1	C	K00496	alkane 1-monooxygenase [EC:1.14.15.3]								Fatty acid desaturase [PF00487.29]					0
RhASF-10_1_78	RhASF-10	1	78	82959	84761	1	D										Protein of unknown function (DUF4012) [PF13196.11]					0
RhASF-10_1_79	RhASF-10	1	79	84787	85461	1	C	K10804	acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]								GDSL-like Lipase/Acylhydrolase family [PF13472.11]					0
RhASF-10_1_80	RhASF-10	1	80	85613	86476	1	D										Protein of unknown function (DUF559) [PF04480.17]; REase_MTES_1575 [PF18741.6]					0
RhASF-10_1_81	RhASF-10	1	81	86928	88037	1	D										Diguanylate cyclase, GGDEF domain [PF00990.26]					0
RhASF-10_1_82	RhASF-10	1	82	88104	88820	-1	E															0
RhASF-10_1_83	RhASF-10	1	83	88874	89371	-1	E															0
RhASF-10_1_84	RhASF-10	1	84	89801	91030	1	D										Sensory domain in DIguanylate Cyclases and Two-component system [PF10069.14]					0
RhASF-10_1_85	RhASF-10	1	85	91175	91306	-1	D										ANTAR domain [PF03861.19]					0
RhASF-10_1_86	RhASF-10	1	86	91532	91840	-1	E															0
RhASF-10_1_87	RhASF-10	1	87	91946	93073	-1	D										Sodium/hydrogen exchanger family [PF00999.26]					0
RhASF-10_1_88	RhASF-10	1	88	93089	93289	-1	E															0
RhASF-10_1_89	RhASF-10	1	89	93286	94776	-1	C	K07028	uncharacterized protein								AAA domain [PF13671.11]					0
RhASF-10_1_90	RhASF-10	1	90	94821	95417	-1	E															0
RhASF-10_1_91	RhASF-10	1	91	95535	96419	-1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_92	RhASF-10	1	92	96413	96718	-1	D										Protein-tyrosine-phosphatase-like, N-terminal domain [PF21234.2]					0
RhASF-10_1_93	RhASF-10	1	93	96917	98395	1	D										Domain of unknown function (DUF4389) [PF14333.11]					0
RhASF-10_1_94	RhASF-10	1	94	98321	99094	-1	C	K07090	uncharacterized protein								Sulfite exporter TauE/SafE [PF01925.24]					0
RhASF-10_1_95	RhASF-10	1	95	99225	100604	1	C	K01069	hydroxyacylglutathione hydrolase [EC:3.1.2.6]								Rhodanese-like domain [PF00581.25]; Metallo-beta-lactamase superfamily [PF00753.32]					0
RhASF-10_1_96	RhASF-10	1	96	100634	100807	1	E															0
RhASF-10_1_97	RhASF-10	1	97	100820	101698	-1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_98	RhASF-10	1	98	101957	102217	1	D										Heavy-metal-associated domain [PF00403.31]					0
RhASF-10_1_99	RhASF-10	1	99	102214	104220	1	C	K01534	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]								E1-E2 ATPase [PF00122.25]; haloacid dehalogenase-like hydrolase [PF00702.31]					0
RhASF-10_1_100	RhASF-10	1	100	104217	104642	1	D										Cupin domain [PF07883.16]; Mannose-6-phosphate isomerase C-terminal [PF01050.23]					0
RhASF-10_1_101	RhASF-10	1	101	104754	105185	1	E															0
RhASF-10_1_102	RhASF-10	1	102	105182	105682	1	C	K00230	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]								Flavodoxin domain [PF12724.12]					0
RhASF-10_1_103	RhASF-10	1	103	105657	106109	-1	D										Protein of unknown function (DUF1003) [PF06210.16]					0
RhASF-10_1_104	RhASF-10	1	104	106366	107376	1	C	K13953	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]								Alcohol dehydrogenase GroES-like domain [PF08240.17]; Zinc-binding dehydrogenase [PF00107.31]					1
RhASF-10_1_105	RhASF-10	1	105	107555	108946	1	D										Aldehyde dehydrogenase family [PF00171.27]					0
RhASF-10_1_106	RhASF-10	1	106	109065	109868	1	D										GAF domain [PF13185.11]; GAF domain [PF01590.31]; ANTAR domain [PF03861.19]					0
RhASF-10_1_107	RhASF-10	1	107	110019	110606	1	E															0
RhASF-10_1_108	RhASF-10	1	108	110631	111086	-1	E															0
RhASF-10_1_109	RhASF-10	1	109	111067	111510	-1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_110	RhASF-10	1	110	111507	112064	-1	C	K00230	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]								Flavodoxin domain [PF12724.12]					0
RhASF-10_1_111	RhASF-10	1	111	112103	112321	-1	E															0
RhASF-10_1_112	RhASF-10	1	112	112585	113079	1	D										Family of unknown function (DUF5994) [PF19457.4]					0
RhASF-10_1_113	RhASF-10	1	113	113076	113972	1	D			MER0075587	S33	MER0075587 - family S33 unassigned peptidases (Nocardioides sp. JS614) [S33.UPW]#S33#{peptidase unit: 6-285}~source ABL83334~	False	0.532	280.0	5.9999999999999995e-83	alpha/beta hydrolase fold [PF00561.25]; Serine aminopeptidase, S33 [PF12146.13]; Alpha/beta hydrolase family [PF12697.12]					0
RhASF-10_1_114	RhASF-10	1	114	113969	114607	-1	E															0
RhASF-10_1_115	RhASF-10	1	115	114639	115478	-1	D										ABC-2 family transporter protein [PF12679.12]					0
RhASF-10_1_116	RhASF-10	1	116	115475	116422	-1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.32]					0
RhASF-10_1_117	RhASF-10	1	117	116474	116758	-1	D										Domain of unknown function (DUF4342) [PF14242.11]					0
RhASF-10_1_118	RhASF-10	1	118	116846	117781	-1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_119	RhASF-10	1	119	117951	118646	1	C	K07695	two-component system, NarL family, response regulator DevR								Response regulator receiver domain [PF00072.29]; Bacterial regulatory proteins, luxR family [PF00196.24]					0
RhASF-10_1_120	RhASF-10	1	120	118672	120345	1	C	K07682	two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]								GAF domain [PF13185.11]; GAF domain [PF13492.11]; GAF domain [PF01590.31]; Histidine kinase [PF07730.18]					0
RhASF-10_1_121	RhASF-10	1	121	120453	121295	1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_122	RhASF-10	1	122	121292	122176	1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_123	RhASF-10	1	123	122198	124588	-1	C	K01621	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]								XFP N-terminal domain [PF09364.15]; XFP C-terminal domain [PF09363.15]; D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase [PF03894.20]					0
RhASF-10_1_124	RhASF-10	1	124	124585	125463	-1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_125	RhASF-10	1	125	125615	126010	1	E															0
RhASF-10_1_126	RhASF-10	1	126	126087	126719	1	C	K08995	putative membrane protein								Domain of unknown function (DUF305) [PF03713.18]; Domain of unknown function (DUF4142) [PF13628.11]					0
RhASF-10_1_127	RhASF-10	1	127	126828	128132	1	C	K03885	NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]								Pyridine nucleotide-disulphide oxidoreductase [PF07992.19]; NDH2 C-terminal domain [PF22366.1]					0
RhASF-10_1_128	RhASF-10	1	128	128212	128607	-1	E															0
