Protein	Annotation	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Succinate_1 Spectral Count	Succinate_2 Spectral Count	Succinate_3 Spectral Count	PELW_1 Spectral Count	PELW_2 Spectral Count	PELW_3 Spectral Count	Succinate_1 Unique Spectral Count	Succinate_2 Unique Spectral Count	Succinate_3 Unique Spectral Count	PELW_1 Unique Spectral Count	PELW_2 Unique Spectral Count	PELW_3 Unique Spectral Count	Succinate_1 Total Spectral Count	Succinate_2 Total Spectral Count	Succinate_3 Total Spectral Count	PELW_1 Total Spectral Count	PELW_2 Total Spectral Count	PELW_3 Total Spectral Count	Succinate_1 Intensity	Succinate_2 Intensity	Succinate_3 Intensity	PELW_1 Intensity	PELW_2 Intensity	PELW_3 Intensity	Succinate_1 MaxLFQ Intensity	Succinate_2 MaxLFQ Intensity	Succinate_3 MaxLFQ Intensity	PELW_1 MaxLFQ Intensity	PELW_2 MaxLFQ Intensity	PELW_3 MaxLFQ Intensity	Indistinguishable Proteins
RhASF-10_1_1009	RhASF-10_1_1009 rank: C; D-arginine dehydrogenase [EC:1.4.99.6] (db=kegg)	RhASF-10_1_1009 rank: C; D-arginine dehydrogenase [EC:1.4.99.6] (db=kegg)		381			RhASF-10_1_1009 rank: C; D-arginine dehydrogenase [EC:1.4.99.6] (db=kegg)	1.0	0.999	8	102	102	102	15	19	24	14	9	21	15	19	24	14	9	21	15	19	24	14	9	21	188131.39	210765.25	225153.25	157446.23	170362.89	145894.66	52446.13	57035.66	56666.113	71372.61	85330.31	68105.19	
RhASF-10_1_1010	RhASF-10_1_1010 rank: D; Lrp/AsnC ligand binding domain [PF01037.26]; AsnC-type helix-turn-helix domain [PF13404.11]; PF0864 C-terminal dimeric alpha+beta barrel domain [PF22482.1] (db=pfam)	RhASF-10_1_1010 rank: D; Lrp/AsnC ligand binding domain [PF01037.26]; AsnC-type helix-turn-helix domain [PF13404.11]; PF0864 C-terminal dimeric alpha+beta barrel domain [PF22482.1] (db=pfam)		165			RhASF-10_1_1010 rank: D; Lrp/AsnC ligand binding domain [PF01037.26]; AsnC-type helix-turn-helix domain [PF13404.11]; PF0864 C-terminal dimeric alpha+beta barrel domain [PF22482.1] (db=pfam)	1.0	0.999	4	35	35	35	4	7	8	4	8	4	4	7	8	4	8	4	4	7	8	4	8	4	41483.67	46076.53	55934.25	30193.3	40428.62	45770.582	15442.844	17180.883	18533.025	20063.707	18571.498	18253.078	
RhASF-10_1_1012	RhASF-10_1_1012 rank: C; protein-tyrosine phosphatase [EC:3.1.3.48] (db=kegg)	RhASF-10_1_1012 rank: C; protein-tyrosine phosphatase [EC:3.1.3.48] (db=kegg)		255			RhASF-10_1_1012 rank: C; protein-tyrosine phosphatase [EC:3.1.3.48] (db=kegg)	1.0	0.999	18	274	274	274	54	47	47	41	49	36	54	47	47	41	49	36	54	47	47	41	49	36	1675653.2	1196103.6	1272168.2	1786412.0	1549518.2	1747987.5	388417.0	380001.38	383707.25	360543.8	369929.12	346319.94	
RhASF-10_1_1013	RhASF-10_1_1013 rank: C; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24] (db=kegg)	RhASF-10_1_1013 rank: C; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24] (db=kegg)		174			RhASF-10_1_1013 rank: C; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24] (db=kegg)	1.0	0.999	4	22	22	22	4	3	6	1	5	3	4	3	6	1	5	3	4	3	6	1	5	3	65963.28	54893.125	53400.773	74711.05	58024.418	82889.27	31592.506	32290.89	28455.158	45106.848	44235.758	46091.605	
RhASF-10_1_1014	RhASF-10_1_1014 rank: C; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172] (db=kegg)	RhASF-10_1_1014 rank: C; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172] (db=kegg)		375			RhASF-10_1_1014 rank: C; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172] (db=kegg)	1.0	0.999	17	217	217	217	34	41	43	36	34	29	34	41	43	36	34	29	34	41	43	36	34	29	755123.56	762075.4	763392.5	773475.0	600392.2	723254.75	127199.32	127885.87	132634.28	138014.86	123294.71	123845.32	
RhASF-10_1_1016	RhASF-10_1_1016 rank: D; Bax inhibitor 1 like [PF12811.12] (db=pfam)	RhASF-10_1_1016 rank: D; Bax inhibitor 1 like [PF12811.12] (db=pfam)		282			RhASF-10_1_1016 rank: D; Bax inhibitor 1 like [PF12811.12] (db=pfam)	1.0	0.999	3	121	121	121	44	12	28	13	14	10	44	12	28	13	14	10	44	12	28	13	14	10	803109.5	244902.06	574795.06	243989.75	161648.97	173778.88	380741.94	116935.83	264679.38	115496.02	124722.305	88170.26	
RhASF-10_1_1017	RhASF-10_1_1017 rank: D; Thiolase, N-terminal domain [PF00108.28]; Thiolase, C-terminal domain [PF02803.23]; Thiolase C-terminal domain-like [PF22691.1] (db=pfam)	RhASF-10_1_1017 rank: D; Thiolase, N-terminal domain [PF00108.28]; Thiolase, C-terminal domain [PF02803.23]; Thiolase C-terminal domain-like [PF22691.1] (db=pfam)		406			RhASF-10_1_1017 rank: D; Thiolase, N-terminal domain [PF00108.28]; Thiolase, C-terminal domain [PF02803.23]; Thiolase C-terminal domain-like [PF22691.1] (db=pfam)	1.0	0.999	28	1291	1291	1291	188	202	203	220	252	226	188	202	203	220	252	226	188	202	203	220	252	226	1.3005546E7	1.3127801E7	1.3619591E7	2.1332762E7	1.6710517E7	2.200548E7	1948328.1	1906281.9	1945340.9	2688556.2	2323542.8	2814471.8	
RhASF-10_1_1018	RhASF-10_1_1018 rank: D; GDSL-like Lipase/Acylhydrolase family [PF13472.11] (db=pfam)	RhASF-10_1_1018 rank: D; GDSL-like Lipase/Acylhydrolase family [PF13472.11] (db=pfam)		303			RhASF-10_1_1018 rank: D; GDSL-like Lipase/Acylhydrolase family [PF13472.11] (db=pfam)	1.0	0.999	4	56	56	56	10	8	10	8	10	10	10	8	10	8	10	10	10	8	10	8	10	10	99640.086	100352.72	103169.05	164178.84	146179.47	164910.28	29034.059	28843.943	29157.137	58240.5	68936.75	49700.008	
RhASF-10_1_1019	RhASF-10_1_1019 rank: C; cystathionine beta-synthase [EC:4.2.1.22] (db=kegg)	RhASF-10_1_1019 rank: C; cystathionine beta-synthase [EC:4.2.1.22] (db=kegg)		461			RhASF-10_1_1019 rank: C; cystathionine beta-synthase [EC:4.2.1.22] (db=kegg)	1.0	0.999	25	1032	1032	1032	189	199	193	148	135	168	189	199	193	148	135	168	189	199	193	148	135	168	1.1116117E7	1.1492787E7	1.122118E7	9620072.0	6215729.5	9676083.0	1034593.2	1037692.8	1035720.9	832019.7	636504.94	873714.44	
RhASF-10_1_1020	RhASF-10_1_1020 rank: C; glutaryl-CoA dehydrogenase [EC:1.3.8.6] (db=kegg)	RhASF-10_1_1020 rank: C; glutaryl-CoA dehydrogenase [EC:1.3.8.6] (db=kegg)		390			RhASF-10_1_1020 rank: C; glutaryl-CoA dehydrogenase [EC:1.3.8.6] (db=kegg)	1.0	0.999	19	365	365	365	53	53	56	68	76	59	53	53	56	68	76	59	53	53	56	68	76	59	2170953.0	2226403.0	2301634.2	2762565.8	2595988.8	2719749.0	295300.22	294902.0	310842.03	400125.84	329047.25	392469.6	
RhASF-10_1_1021	RhASF-10_1_1021 rank: C; cysteine-S-conjugate beta-lyase [EC:4.4.1.13] (db=kegg)	RhASF-10_1_1021 rank: C; cysteine-S-conjugate beta-lyase [EC:4.4.1.13] (db=kegg)		390			RhASF-10_1_1021 rank: C; cysteine-S-conjugate beta-lyase [EC:4.4.1.13] (db=kegg)	1.0	0.999	15	649	649	649	123	116	128	105	80	97	123	116	128	105	80	97	123	116	128	105	80	97	6277406.0	6277242.5	6350255.5	6129352.5	3147507.2	5644159.5	1227786.0	1213926.9	1207838.1	1030912.75	619502.7	1009447.1	
RhASF-10_1_1022	RhASF-10_1_1022 rank: C; glutamate racemase [EC:5.1.1.3] (db=kegg)	RhASF-10_1_1022 rank: C; glutamate racemase [EC:5.1.1.3] (db=kegg)		258			RhASF-10_1_1022 rank: C; glutamate racemase [EC:5.1.1.3] (db=kegg)	1.0	0.999	12	178	178	178	23	34	21	33	30	37	23	34	21	33	30	37	23	34	21	33	30	37	431474.0	434076.78	417176.66	687404.3	649617.2	724169.94	94800.98	92744.54	93760.13	137140.89	154693.55	145464.44	
RhASF-10_1_1024	RhASF-10_1_1024 rank: C; formaldehyde dismutase / methanol dehydrogenase [EC:1.2.98.1 1.1.99.37] (db=kegg)	RhASF-10_1_1024 rank: C; formaldehyde dismutase / methanol dehydrogenase [EC:1.2.98.1 1.1.99.37] (db=kegg)		423			RhASF-10_1_1024 rank: C; formaldehyde dismutase / methanol dehydrogenase [EC:1.2.98.1 1.1.99.37] (db=kegg)	1.0	0.999	39	1915	1915	1915	113	139	134	576	537	416	113	139	134	576	537	416	113	139	134	576	537	416	7208860.0	9237624.0	8717194.0	8.5923328E7	4.1159096E7	4.6010448E7	585331.3	744013.8	699212.25	8077652.0	4177824.2	3876082.5	
RhASF-10_1_1025	RhASF-10_1_1025 rank: C; uncharacterized protein (db=kegg)	RhASF-10_1_1025 rank: C; uncharacterized protein (db=kegg)		345			RhASF-10_1_1025 rank: C; uncharacterized protein (db=kegg)	1.0	0.999	18	225	225	225	14	26	21	69	47	48	14	26	21	69	47	48	14	26	21	69	47	48	301313.78	438008.5	386652.38	4190022.0	2025617.8	1679826.8	46276.46	64796.19	56835.812	504617.97	245504.39	208584.34	
RhASF-10_1_1026	RhASF-10_1_1026 rank: C; uncharacterized protein (db=kegg)	RhASF-10_1_1026 rank: C; uncharacterized protein (db=kegg)		505			RhASF-10_1_1026 rank: C; uncharacterized protein (db=kegg)	1.0	0.999	14	90	90	90	2	4	6	34	28	16	2	4	6	34	28	16	2	4	6	34	28	16	44016.625	84322.15	62617.16	863808.0	474502.38	331066.38	12210.309	17008.004	15842.702	132430.84	97357.18	55521.87	
RhASF-10_1_1027	RhASF-10_1_1027 rank: D; Iron-containing alcohol dehydrogenase [PF00465.24]; Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)	RhASF-10_1_1027 rank: D; Iron-containing alcohol dehydrogenase [PF00465.24]; Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)		407			RhASF-10_1_1027 rank: D; Iron-containing alcohol dehydrogenase [PF00465.24]; Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)	1.0	0.999	10	99	99	99	5	3	5	29	24	33	5	3	5	29	24	33	5	3	5	29	24	33	50735.68	114979.02	72880.75	1233692.6	736141.2	744566.4	21663.66	27651.867	31030.652	291124.66	153031.88	162274.83	
RhASF-10_1_1028	RhASF-10_1_1028 rank: D; Histidine kinase [PF07730.18] (db=pfam)	RhASF-10_1_1028 rank: D; Histidine kinase [PF07730.18] (db=pfam)		451			RhASF-10_1_1028 rank: D; Histidine kinase [PF07730.18] (db=pfam)	1.0	0.999	14	86	86	86	1	13	6	28	19	19	1	13	6	28	19	19	1	13	6	28	19	19	167048.33	234273.22	201999.78	734293.0	428491.25	370900.2	80556.0	91137.91	86524.05	353937.56	241231.69	180357.64	
RhASF-10_1_1029	RhASF-10_1_1029 rank: D; Response regulator receiver domain [PF00072.29]; Bacterial regulatory proteins, luxR family [PF00196.24] (db=pfam)	RhASF-10_1_1029 rank: D; Response regulator receiver domain [PF00072.29]; Bacterial regulatory proteins, luxR family [PF00196.24] (db=pfam)		226			RhASF-10_1_1029 rank: D; Response regulator receiver domain [PF00072.29]; Bacterial regulatory proteins, luxR family [PF00196.24] (db=pfam)	1.0	0.999	10	58	58	58	0	2	4	21	17	14	0	2	4	21	17	14	0	2	4	21	17	14	17252.104	59681.58	46004.11	477745.12	291791.22	187783.02	10653.686	20308.217	16650.562	88307.31	57687.76	39591.336	
RhASF-10_1_1031	RhASF-10_1_1031 rank: D; Serine aminopeptidase, S33 [PF12146.13]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.23]; Prolyl oligopeptidase family [PF00326.26] (db=pfam)	RhASF-10_1_1031 rank: D; Serine aminopeptidase, S33 [PF12146.13]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.23]; Prolyl oligopeptidase family [PF00326.26] (db=pfam)		277			RhASF-10_1_1031 rank: D; Serine aminopeptidase, S33 [PF12146.13]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.23]; Prolyl oligopeptidase family [PF00326.26] (db=pfam)	1.0	0.999	3	8	8	8	0	0	0	4	3	1	0	0	0	4	3	1	0	0	0	4	3	1	13119.023	18276.676	13987.66	30143.592	19040.168	23329.785	8200.753	8499.157	8673.948	13219.002	5391.7114	10269.989	
RhASF-10_1_1032	RhASF-10_1_1032 rank: D; Tetracyclin repressor-like, C-terminal domain [PF13305.11] (db=pfam)	RhASF-10_1_1032 rank: D; Tetracyclin repressor-like, C-terminal domain [PF13305.11] (db=pfam)		211			RhASF-10_1_1032 rank: D; Tetracyclin repressor-like, C-terminal domain [PF13305.11] (db=pfam)	1.0	0.999	4	36	36	36	7	5	5	5	7	7	7	5	5	5	7	7	7	5	5	5	7	7	109108.12	108495.75	101306.54	95540.72	106872.46	91601.06	37378.12	37230.992	35162.0	37465.375	44751.41	35758.254	
RhASF-10_1_1033	RhASF-10_1_1033 rank: D; Methyltransferase domain [PF08241.17]; Methyltransferase domain [PF13489.11] (db=pfam)	RhASF-10_1_1033 rank: D; Methyltransferase domain [PF08241.17]; Methyltransferase domain [PF13489.11] (db=pfam)		275			RhASF-10_1_1033 rank: D; Methyltransferase domain [PF08241.17]; Methyltransferase domain [PF13489.11] (db=pfam)	1.0	0.999	6	34	34	34	0	0	2	15	14	3	0	0	2	15	14	3	0	0	2	15	14	3	5358.9756	24482.914	23785.033	183853.92	130822.84	37391.023	0.0	8997.45	8502.499	45286.504	32189.14	12791.306	
RhASF-10_1_1034	RhASF-10_1_1034 rank: D; Ring hydroxylating alpha subunit (catalytic domain) [PF00848.24]; Rieske [2Fe-2S] domain [PF00355.31] (db=pfam)	RhASF-10_1_1034 rank: D; Ring hydroxylating alpha subunit (catalytic domain) [PF00848.24]; Rieske [2Fe-2S] domain [PF00355.31] (db=pfam)		457			RhASF-10_1_1034 rank: D; Ring hydroxylating alpha subunit (catalytic domain) [PF00848.24]; Rieske [2Fe-2S] domain [PF00355.31] (db=pfam)	1.0	0.999	3	10	10	10	0	6	4	0	0	0	0	6	4	0	0	0	0	6	4	0	0	0	22009.904	30298.076	31933.887	4753.851	0.0	8594.721	12258.364	12396.456	12781.454	0.0	0.0	4804.165	
RhASF-10_1_1036	RhASF-10_1_1036 rank: C; uncharacterized protein (db=kegg)	RhASF-10_1_1036 rank: C; uncharacterized protein (db=kegg)		244			RhASF-10_1_1036 rank: C; uncharacterized protein (db=kegg)	0.9994	0.999	2	13	13	13	1	3	2	2	3	2	1	3	2	2	3	2	1	3	2	2	3	2	20959.998	28731.172	22373.5	39259.89	41369.746	34259.285	0.0	23798.75	0.0	28053.693	33925.62	24589.408	
RhASF-10_1_1037	RhASF-10_1_1037 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28] (db=pfam)	RhASF-10_1_1037 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28] (db=pfam)		239			RhASF-10_1_1037 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28] (db=pfam)	1.0	0.999	9	123	123	123	20	19	26	20	16	22	20	19	26	20	16	22	20	19	26	20	16	22	478694.9	475731.12	519605.22	519425.9	462982.7	588837.9	84538.75	82326.42	90444.016	81182.07	84760.01	100674.836	
RhASF-10_1_1038	RhASF-10_1_1038 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28] (db=pfam)	RhASF-10_1_1038 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28] (db=pfam)		217			RhASF-10_1_1038 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28] (db=pfam)	1.0	0.999	6	66	66	66	10	14	8	14	9	11	10	14	8	14	9	11	10	14	8	14	9	11	191570.72	215273.27	180972.86	187252.34	202978.17	242148.69	55480.16	63277.99	51817.645	59082.03	60222.992	68457.42	
RhASF-10_1_1039	RhASF-10_1_1039 rank: D; Histidine phosphatase superfamily (branch 1) [PF00300.27] (db=pfam)	RhASF-10_1_1039 rank: D; Histidine phosphatase superfamily (branch 1) [PF00300.27] (db=pfam)		232			RhASF-10_1_1039 rank: D; Histidine phosphatase superfamily (branch 1) [PF00300.27] (db=pfam)	0.975	0.9981	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
RhASF-10_1_1040	RhASF-10_1_1040 rank: D; Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; NAD dependent epimerase/dehydratase family [PF01370.26] (db=pfam)	RhASF-10_1_1040 rank: D; Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; NAD dependent epimerase/dehydratase family [PF01370.26] (db=pfam)		253			RhASF-10_1_1040 rank: D; Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; NAD dependent epimerase/dehydratase family [PF01370.26] (db=pfam)	1.0	0.999	9	122	122	122	21	17	22	17	23	22	21	17	22	17	23	22	21	17	22	17	23	22	426715.0	391035.2	453221.66	590086.06	610103.06	549625.3	77200.66	71476.305	80446.03	113114.086	116657.734	102691.984	
RhASF-10_1_1041	RhASF-10_1_1041 rank: C; dihydrolipoyl dehydrogenase [EC:1.8.1.4] (db=kegg)	RhASF-10_1_1041 rank: C; dihydrolipoyl dehydrogenase [EC:1.8.1.4] (db=kegg)		466			RhASF-10_1_1041 rank: C; dihydrolipoyl dehydrogenase [EC:1.8.1.4] (db=kegg)	1.0	0.999	5	31	31	31	0	1	1	11	9	9	0	1	1	11	9	9	0	1	1	11	9	9	41699.25	24305.201	23182.613	68911.67	81085.06	53001.844	14114.5	17953.098	17096.35	20845.879	23871.244	20857.613	
RhASF-10_1_1044	RhASF-10_1_1044 rank: D; Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]; NAD dependent epimerase/dehydratase family [PF01370.26] (db=pfam)	RhASF-10_1_1044 rank: D; Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]; NAD dependent epimerase/dehydratase family [PF01370.26] (db=pfam)		258			RhASF-10_1_1044 rank: D; Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]; NAD dependent epimerase/dehydratase family [PF01370.26] (db=pfam)	0.9998	0.999	2	7	7	7	0	0	0	2	1	4	0	0	0	2	1	4	0	0	0	2	1	4	10920.632	0.0	0.0	21256.479	13175.484	19488.324	0.0	0.0	0.0	11511.771	0.0	10715.927	
RhASF-10_1_1045	RhASF-10_1_1045 rank: D; PEP-utilising enzyme, mobile domain [PF00391.28] (db=pfam)	RhASF-10_1_1045 rank: D; PEP-utilising enzyme, mobile domain [PF00391.28] (db=pfam)		582			RhASF-10_1_1045 rank: D; PEP-utilising enzyme, mobile domain [PF00391.28] (db=pfam)	1.0	0.999	8	27	27	27	1	0	0	5	12	9	1	0	0	5	12	9	1	0	0	5	12	9	0.0	2295.7686	1730.7123	82444.95	111017.86	109371.8	0.0	0.0	0.0	23647.94	29813.023	23364.957	
RhASF-10_1_1055	RhASF-10_1_1055 rank: C; pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	RhASF-10_1_1055 rank: C; pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)		847			RhASF-10_1_1055 rank: C; pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	1.0	0.999	24	117	117	117	0	0	1	42	32	42	0	0	1	42	32	42	0	0	1	42	32	42	11313.565	3421.5999	20822.014	446658.75	421398.12	447068.0	5112.5327	0.0	8333.098	38505.777	48216.227	40365.715	
